rank,global_tokens,source_ranks,operation,median_ms,min_ms,max_ms
4,8192,16,original_owners,0.4555455843607585,0.4554890632629395,0.4631402651468913
4,8192,16,redistribute_routed_restore,0.5675626754760742,0.5666847864786784,0.6119114557902018
4,8192,16,redistribute_restore_only,0.10579946835835775,0.10571093559265136,0.10582613150278727
5,2048,4,original_owners,0.4704469362894694,0.46977386474609373,0.47178239822387696
5,2048,4,redistribute_routed_restore,0.3867936134338379,0.3865642547607422,0.38681812286376954
5,2048,4,redistribute_restore_only,0.09072746435801188,0.09033173720041911,0.09329280058542887
5,2048,8,original_owners,0.458246390024821,0.4582154591878255,0.45938240687052406
5,2048,8,redistribute_routed_restore,0.3864106814066569,0.38635199864705405,0.38646294275919596
5,2048,8,redistribute_restore_only,0.09710293610890706,0.09666986465454101,0.09827199776967367
5,2048,16,original_owners,0.28809385299682616,0.28621654510498046,0.29226773579915366
5,2048,16,redistribute_routed_restore,0.3454005241394043,0.34528532028198244,0.34595200220743816
5,2048,16,redistribute_restore_only,0.05128959814707438,0.051200000445048015,0.05129493474960327
5,8192,4,original_owners,1.501785659790039,1.5015509287516275,1.5036426544189454
5,8192,4,redistribute_routed_restore,0.6370016098022461,0.6365034739176433,0.6391199747721354
5,8192,4,redistribute_restore_only,0.17189226150512696,0.17165652910868326,0.1726367950439453
5,8192,8,original_owners,1.4056191762288412,1.4054964701334636,1.4086570739746094
5,8192,8,redistribute_routed_restore,0.6788031895955403,0.6786133448282877,0.6802047729492188
5,8192,8,redistribute_restore_only,0.20852160453796387,0.20793174107869467,0.21029225985209146
5,8192,16,original_owners,0.4554677327473958,0.45540587107340497,0.4630271911621094
5,8192,16,redistribute_routed_restore,0.5674783706665039,0.5666954676310222,0.6119029362996419
5,8192,16,redistribute_restore_only,0.10604800383249918,0.1059935967127482,0.10608320236206055
6,2048,4,original_owners,0.47056852976481117,0.4699680010477702,0.4718751907348633
6,2048,4,redistribute_routed_restore,0.38686081568400066,0.386571725209554,0.3868853251139323
6,2048,4,redistribute_restore_only,0.0908074696858724,0.09040319919586182,0.0933568000793457
6,2048,8,original_owners,0.4583552042643229,0.4582293192545573,0.45936107635498047
6,2048,8,redistribute_routed_restore,0.38653866449991864,0.38640960057576496,0.3869781176249186
6,2048,8,redistribute_restore_only,0.09730453491210937,0.09639360109965006,0.09833813508351644
6,2048,16,original_owners,0.28817386627197267,0.2863658587137858,0.29230400721232097
6,2048,16,redistribute_routed_restore,0.34537919362386066,0.3453557332356771,0.3460597356160482
6,2048,16,redistribute_restore_only,0.05024640162785848,0.04972480138142903,0.05076800187428792
6,8192,4,original_owners,1.5017706553141277,1.5015989939371746,1.5037610371907553
6,8192,4,redistribute_routed_restore,0.637121073404948,0.6366165161132813,0.6393013636271159
6,8192,4,redistribute_restore_only,0.17200640042622883,0.1719221274058024,0.1727839946746826
6,8192,8,original_owners,1.4057450612386069,1.4055819193522134,1.408792495727539
6,8192,8,redistribute_routed_restore,0.6789749145507813,0.6788010915120443,0.680563227335612
6,8192,8,redistribute_restore_only,0.20863253275553387,0.20770026842753092,0.21032640139261882
6,8192,16,original_owners,0.45555839538574217,0.45553919474283855,0.46311041514078777
6,8192,16,redistribute_routed_restore,0.5676160176595052,0.5668671925862631,0.6121077219645182
6,8192,16,redistribute_restore_only,0.10507307052612305,0.10477440357208252,0.10538026491800943
7,2048,4,original_owners,0.47053120930989584,0.46982720692952473,0.47177705764770506
7,2048,4,redistribute_routed_restore,0.38683627446492513,0.38672320048014325,0.38686294555664064
7,2048,4,redistribute_restore_only,0.09074347019195557,0.09044693311055502,0.09329919815063477
7,2048,8,original_owners,0.4583008130391439,0.4582741419474284,0.459388796488444
7,2048,8,redistribute_routed_restore,0.3865909258524577,0.38646294275919596,0.38665065765380857
7,2048,8,redistribute_restore_only,0.09712426662445069,0.09652799765268961,0.09827306270599365
7,2048,16,original_owners,0.28819732666015624,0.2863360087076823,0.2923413276672363
7,2048,16,redistribute_routed_restore,0.34541333516438805,0.3453632036844889,0.34605652491251626
7,2048,16,redistribute_restore_only,0.05038826862970988,0.049754667282104495,0.050850133101145424
7,8192,4,original_owners,1.5018763224283853,1.5016501108805338,1.5038079579671224
7,8192,4,redistribute_routed_restore,0.6370410919189453,0.6365503946940104,0.6391626358032226
7,8192,4,redistribute_restore_only,0.1720469315846761,0.1717631975809733,0.1727285385131836
7,8192,8,original_owners,1.4057535807291666,1.405565897623698,1.4086922963460287
7,8192,8,redistribute_routed_restore,0.6788522720336914,0.6786752065022786,0.6803658803304037
7,8192,8,redistribute_restore_only,0.20875627199808758,0.20782186190287272,0.2103381315867106
7,8192,16,original_owners,0.4555829366048177,0.4555157343546549,0.4631744066874186
7,8192,16,redistribute_routed_restore,0.5676394780476888,0.5667264302571614,0.6120170593261719
7,8192,16,redistribute_restore_only,0.10558613141377766,0.10549546877543131,0.10565546353658041
8,2048,4,original_owners,0.47041279474894204,0.4697653452555339,0.47171093622843424
8,2048,4,redistribute_routed_restore,0.38669761021931964,0.3866058667500814,0.38681281407674156
8,2048,4,redistribute_restore_only,0.09079893430074056,0.09030826886494954,0.09377066294352214
8,2048,8,original_owners,0.45839999516805013,0.458132266998291,0.4592960039774577
8,2048,8,redistribute_routed_restore,0.38650239308675133,0.38622293472290037,0.38665812810262046
8,2048,8,redistribute_restore_only,0.09696426391601562,0.09659093221028646,0.09832213719685873
8,2048,16,original_owners,0.2882080078125,0.2862410545349121,0.29242881139119464
8,2048,16,redistribute_routed_restore,0.34540481567382814,0.34527467091878256,0.34605013529459633
8,2048,16,redistribute_restore_only,0.051045334339141844,0.05007253487904866,0.05188586711883545
8,8192,4,original_owners,1.5017845153808593,1.5014751434326172,1.5036820729573568
8,8192,4,redistribute_routed_restore,0.6365301132202148,0.6357877095540364,0.6370143890380859
8,8192,4,redistribute_restore_only,0.17263147036234539,0.1722815990447998,0.17275946935017902
8,8192,8,original_owners,1.4056480407714844,1.4055391947428386,1.4088277180989583
8,8192,8,redistribute_routed_restore,0.6787584304809571,0.678709348042806,0.6803616205851237
8,8192,8,redistribute_restore_only,0.208515199025472,0.20808854103088378,0.21034560203552247
8,8192,16,original_owners,0.4555349349975586,0.455462392171224,0.4630549430847168
8,8192,16,redistribute_routed_restore,0.5675829569498698,0.5667253494262695,0.6119765599568685
8,8192,16,redistribute_restore_only,0.10658346811930339,0.10651413599650066,0.10658880074818929
9,2048,4,original_owners,0.47028907140096027,0.4698111852010091,0.4717749277750651
9,2048,4,redistribute_routed_restore,0.38668905893961586,0.3865557352701823,0.38675200144449867
9,2048,4,redistribute_restore_only,0.09075307051340739,0.09028693040211995,0.09365013440450033
9,2048,8,original_owners,0.4584309260050456,0.45814720789591473,0.4593119939168294
9,2048,8,redistribute_routed_restore,0.38659413655598956,0.3863605181376139,0.38668800989786783
9,2048,8,redistribute_restore_only,0.09702400366465251,0.0965941349665324,0.09830079873402914
9,2048,16,original_owners,0.2881802558898926,0.2863658587137858,0.29242238998413084
9,2048,16,redistribute_routed_restore,0.34530452092488606,0.3452725410461426,0.34586025873819987
9,2048,16,redistribute_restore_only,0.052252801259358723,0.051863467693328856,0.05256746610005696
9,8192,4,original_owners,1.5017664591471354,1.5015093485514324,1.503646977742513
9,8192,4,redistribute_routed_restore,0.6369290669759115,0.6364597320556641,0.639141337076823
9,8192,4,redistribute_restore_only,0.1726901372273763,0.17229013442993163,0.17280319531758626
9,8192,8,original_owners,1.405728022257487,1.4047765096028646,1.408774439493815
9,8192,8,redistribute_routed_restore,0.6787520090738932,0.6786922454833985,0.6803370793660481
9,8192,8,redistribute_restore_only,0.20840106010437012,0.2078762690226237,0.2103295962015788
9,8192,16,original_owners,0.4553578694661458,0.4549397468566895,0.45548054377237956
9,8192,16,redistribute_routed_restore,0.5674613316853842,0.5666730880737305,0.6119957605997721
9,8192,16,redistribute_restore_only,0.10805013179779052,0.10800426801045736,0.10806826750437419
10,2048,4,original_owners,0.47048638661702474,0.46986134847005206,0.4718240102132161
10,2048,4,redistribute_routed_restore,0.3867509206136068,0.3865791956583659,0.38680960337320963
10,2048,4,redistribute_restore_only,0.0908128023147583,0.09037013053894043,0.09374079704284669
10,2048,8,original_owners,0.45840959548950194,0.4582144101460775,0.4593695958455404
10,2048,8,redistribute_routed_restore,0.3865920066833496,0.3864106814066569,0.38665278752644855
10,2048,8,redistribute_restore_only,0.09721493721008301,0.0968565305074056,0.09842560291290284
10,2048,16,original_owners,0.2882762591044108,0.2863594690958659,0.29249067306518556
10,2048,16,redistribute_routed_restore,0.34548905690511067,0.34547306696573893,0.3459477424621582
10,2048,16,redistribute_restore_only,0.05042026837666829,0.04969813426335653,0.05175893306732178
10,8192,4,original_owners,1.5018325805664063,1.5016287485758464,1.503763198852539
10,8192,4,redistribute_routed_restore,0.6370400110880534,0.6362869262695312,0.6391733169555665
10,8192,4,redistribute_restore_only,0.17272639274597168,0.1722976048787435,0.17272960344950358
10,8192,8,original_owners,1.4057706197102864,1.4055819193522134,1.4077237447102864
10,8192,8,redistribute_routed_restore,0.6787359873453777,0.6786293029785156,0.6804447809855143
10,8192,8,redistribute_restore_only,0.2084821383158366,0.20808107058207195,0.2104021390279134
10,8192,16,original_owners,0.45559892654418943,0.4554794629414876,0.4630613327026367
10,8192,16,redistribute_routed_restore,0.5676031748453776,0.5663989384969076,0.6120426813761394
10,8192,16,redistribute_restore_only,0.10550719896952311,0.1054357369740804,0.10556480089823404
11,2048,4,original_owners,0.47053759892781577,0.46988906860351565,0.4718826611836751
11,2048,4,redistribute_routed_restore,0.38671785990397134,0.38664639790852867,0.38672320048014325
11,2048,4,redistribute_restore_only,0.09082773526509604,0.09030400117238363,0.09372586409250895
11,2048,8,original_owners,0.45843413670857747,0.45822188059488933,0.45936425526936847
11,2048,8,redistribute_routed_restore,0.3865354537963867,0.3864426612854004,0.3867114702860514
11,2048,8,redistribute_restore_only,0.09704319636027019,0.09664959907531738,0.09832106431325277
11,2048,16,original_owners,0.2881994565327962,0.2863221486409505,0.2923829396565755
11,2048,16,redistribute_routed_restore,0.3454101244608561,0.3453685442606608,0.3459434509277344
11,2048,16,redistribute_restore_only,0.04971520105997721,0.04933226505915324,0.05029546817143758
11,8192,4,original_owners,1.5017908732096354,1.501592508951823,1.5037610371907553
11,8192,4,redistribute_routed_restore,0.6370165506998698,0.6364063898722331,0.6391349156697591
11,8192,4,redistribute_restore_only,0.17265599568684895,0.17222933769226073,0.17266027132670084
11,8192,8,original_owners,1.4057301839192708,1.405555216471354,1.408892822265625
11,8192,8,redistribute_routed_restore,0.6787146886189779,0.6786752065022786,0.6803871790568033
11,8192,8,redistribute_restore_only,0.20860907236735027,0.20793066024780274,0.21041599909464517
11,8192,16,original_owners,0.45549227396647135,0.45540587107340497,0.4630538622538249
11,8192,16,redistribute_routed_restore,0.5675605138142904,0.5666730880737305,0.6120277404785156
11,8192,16,redistribute_restore_only,0.10461973349253337,0.1045909325281779,0.10840960343678792
12,2048,4,original_owners,0.4697397232055664,0.46954453786214195,0.47156801223754885
12,2048,4,redistribute_routed_restore,0.38626880645751954,0.3856821378072103,0.38638505935668943
12,2048,4,redistribute_restore_only,0.09028586546579996,0.09000639915466309,0.09226346810658773
12,2048,8,original_owners,0.45807679494222003,0.4578922589619954,0.459119987487793
12,2048,8,redistribute_routed_restore,0.3864426612854004,0.3861791928609212,0.38667627970377605
12,2048,8,redistribute_restore_only,0.09693439801534016,0.09624000390370686,0.09804159800211588
12,2048,16,original_owners,0.2881696065266927,0.28619200388590493,0.29201278686523435
12,2048,16,redistribute_routed_restore,0.34534079233805337,0.34517332712809246,0.34585386912027993
12,2048,16,redistribute_restore_only,0.04956373373667399,0.04915413459142049,0.04962773323059082
