rank,projection_tp,nested_cp,effective_head_tp,dp,batch_per_dp,context,cache_dtype,graph_ms,local_cache_bytes,correctness_max_abs,includes_query_exchange
4,16,16,1,1,8,8192,torch.bfloat16,0.16415200233459473,4718592,2.9671471565961838e-05,True
4,16,16,1,1,32,8192,torch.bfloat16,0.21713759899139404,18874368,2.9671471565961838e-05,True
4,16,16,1,1,1,32768,torch.bfloat16,0.15183680057525634,2359296,2.9671471565961838e-05,True
4,16,16,1,1,8,32768,torch.bfloat16,0.178713595867157,18874368,2.9671471565961838e-05,True
4,16,16,1,1,32,32768,torch.bfloat16,0.24488799571990966,75497472,2.9671471565961838e-05,True
4,16,16,1,1,1,131072,torch.bfloat16,0.16046080589294434,9437184,2.9671471565961838e-05,True
4,16,16,1,1,8,131072,torch.bfloat16,0.20302081108093262,75497472,2.9671471565961838e-05,True
4,16,16,1,1,32,131072,torch.bfloat16,0.29213919639587405,301989888,2.9671471565961838e-05,True
4,16,16,1,1,1,524288,torch.bfloat16,0.16919519901275634,37748736,2.9671471565961838e-05,True
4,16,16,1,1,8,524288,torch.bfloat16,0.2543872117996216,301989888,2.9671471565961838e-05,True
4,16,16,1,1,32,524288,torch.bfloat16,0.46179838180541993,1207959552,2.9671471565961838e-05,True
4,16,16,1,1,1,1048576,torch.bfloat16,0.1816223978996277,75497472,2.9671471565961838e-05,True
4,16,16,1,1,8,1048576,torch.bfloat16,0.3101200103759766,603979776,2.9671471565961838e-05,True
4,16,16,1,1,32,1048576,torch.bfloat16,0.700868797302246,2415919104,2.9671471565961838e-05,True
4,16,16,1,1,1,8192,torch.float8_e4m3fn,0.14521440267562866,294912,0.0002175570698454976,True
4,16,16,1,1,8,8192,torch.float8_e4m3fn,0.16340160369873047,2359296,0.0002175570698454976,True
4,16,16,1,1,32,8192,torch.float8_e4m3fn,0.2017967939376831,9437184,0.0002175570698454976,True
4,16,16,1,1,1,32768,torch.float8_e4m3fn,0.1473647952079773,1179648,0.0002175570698454976,True
4,16,16,1,1,8,32768,torch.float8_e4m3fn,0.17283519506454467,9437184,0.0002175570698454976,True
4,16,16,1,1,32,32768,torch.float8_e4m3fn,0.22562720775604247,37748736,0.0002175570698454976,True
4,16,16,1,1,1,131072,torch.float8_e4m3fn,0.15142079591751098,4718592,0.0002175570698454976,True
4,16,16,1,1,8,131072,torch.float8_e4m3fn,0.17633119821548462,37748736,0.0002175570698454976,True
4,16,16,1,1,32,131072,torch.float8_e4m3fn,0.257096004486084,150994944,0.0002175570698454976,True
4,16,16,1,1,1,524288,torch.float8_e4m3fn,0.1629040002822876,18874368,0.0002175570698454976,True
4,16,16,1,1,8,524288,torch.float8_e4m3fn,0.22630879878997803,150994944,0.0002175570698454976,True
4,16,16,1,1,32,524288,torch.float8_e4m3fn,0.3597536087036133,603979776,0.0002175570698454976,True
4,16,16,1,1,1,1048576,torch.float8_e4m3fn,0.16697920560836793,37748736,0.0002175570698454976,True
4,16,16,1,1,8,1048576,torch.float8_e4m3fn,0.2520400047302246,301989888,0.0002175570698454976,True
4,16,16,1,1,32,1048576,torch.float8_e4m3fn,0.49290881156921384,1207959552,0.0002175570698454976,True
4,8,1,8,2,1,1024,torch.bfloat16,0.014457599818706512,1179648,9.8448246717453e-05,True
4,8,1,8,2,8,1024,torch.bfloat16,0.014406399428844452,9437184,9.8448246717453e-05,True
4,8,1,8,2,32,1024,torch.bfloat16,0.01666879951953888,37748736,9.8448246717453e-05,True
4,8,1,8,2,1,8192,torch.bfloat16,0.015603199601173401,9437184,9.8448246717453e-05,True
4,8,1,8,2,8,8192,torch.bfloat16,0.019654400646686554,75497472,9.8448246717453e-05,True
4,8,1,8,2,32,8192,torch.bfloat16,0.0688975989818573,301989888,9.8448246717453e-05,True
4,8,1,8,2,1,32768,torch.bfloat16,0.026782399415969847,37748736,9.8448246717453e-05,True
4,8,1,8,2,8,32768,torch.bfloat16,0.06688479781150818,301989888,9.8448246717453e-05,True
4,8,1,8,2,32,32768,torch.bfloat16,0.22344160079956055,1207959552,9.8448246717453e-05,True
4,8,1,8,2,1,131072,torch.bfloat16,0.052830398082733154,150994944,9.8448246717453e-05,True
4,8,1,8,2,8,131072,torch.bfloat16,0.23121919631958007,1207959552,9.8448246717453e-05,True
4,8,1,8,2,32,131072,torch.bfloat16,0.832425594329834,4831838208,9.8448246717453e-05,True
4,8,1,8,2,1,524288,torch.bfloat16,0.13833760023117064,603979776,9.8448246717453e-05,True
4,8,1,8,2,8,524288,torch.bfloat16,0.7919087886810303,4831838208,9.8448246717453e-05,True
4,8,1,8,2,32,524288,torch.bfloat16,3.2757328033447264,19327352832,9.8448246717453e-05,True
4,8,1,8,2,1,1048576,torch.bfloat16,0.25319199562072753,1207959552,9.8448246717453e-05,True
4,8,1,8,2,8,1048576,torch.bfloat16,1.5715312004089355,9663676416,9.8448246717453e-05,True
4,8,1,8,2,32,1048576,torch.bfloat16,6.4554893493652346,38654705664,9.8448246717453e-05,True
4,8,1,8,2,1,1024,torch.float8_e4m3fn,0.012600000202655792,589824,0.0008488395251333714,True
4,8,1,8,2,8,1024,torch.float8_e4m3fn,0.012583999335765839,4718592,0.0008488395251333714,True
4,8,1,8,2,32,1024,torch.float8_e4m3fn,0.014537599682807923,18874368,0.0008488395251333714,True
4,8,1,8,2,1,8192,torch.float8_e4m3fn,0.01454399973154068,4718592,0.0008488395251333714,True
4,8,1,8,2,8,8192,torch.float8_e4m3fn,0.016667200624942778,37748736,0.0008488395251333714,True
4,8,1,8,2,32,8192,torch.float8_e4m3fn,0.03724640011787415,150994944,0.0008488395251333714,True
4,8,1,8,2,1,32768,torch.float8_e4m3fn,0.02268960028886795,18874368,0.0008488395251333714,True
4,8,1,8,2,8,32768,torch.float8_e4m3fn,0.03789120018482208,150994944,0.0008488395251333714,True
4,8,1,8,2,32,32768,torch.float8_e4m3fn,0.10295039415359497,603979776,0.0008488395251333714,True
4,8,1,8,2,1,131072,torch.float8_e4m3fn,0.030985599756240843,75497472,0.0008488395251333714,True
4,8,1,8,2,8,131072,torch.float8_e4m3fn,0.101363205909729,603979776,0.0008488395251333714,True
4,8,1,8,2,32,131072,torch.float8_e4m3fn,0.36406080722808837,2415919104,0.0008488395251333714,True
4,8,1,8,2,1,524288,torch.float8_e4m3fn,0.07399200201034546,301989888,0.0008488395251333714,True
4,8,1,8,2,8,524288,torch.float8_e4m3fn,0.34949119091033937,2415919104,0.0008488395251333714,True
4,8,1,8,2,32,524288,torch.float8_e4m3fn,1.4138544082641602,9663676416,0.0008488395251333714,True
4,8,1,8,2,1,1048576,torch.float8_e4m3fn,0.1262719988822937,603979776,0.0008488395251333714,True
4,8,1,8,2,8,1048576,torch.float8_e4m3fn,0.6811903953552246,4831838208,0.0008488395251333714,True
4,8,1,8,2,32,1048576,torch.float8_e4m3fn,2.8440927505493163,19327352832,0.0008488395251333714,True
4,8,2,4,2,1,1024,torch.bfloat16,0.05752320289611816,589824,0.00012516602873802185,True
4,8,2,4,2,8,1024,torch.bfloat16,0.06635519862174988,4718592,0.00012516602873802185,True
4,8,2,4,2,32,1024,torch.bfloat16,0.07700160145759583,18874368,0.00012516602873802185,True
4,8,2,4,2,1,8192,torch.bfloat16,0.061831998825073245,4718592,0.00012516602873802185,True
4,8,2,4,2,8,8192,torch.bfloat16,0.076419198513031,37748736,0.00012516602873802185,True
4,8,2,4,2,32,8192,torch.bfloat16,0.13377759456634522,150994944,0.00012516602873802185,True
4,8,2,4,2,1,32768,torch.bfloat16,0.06841440200805664,18874368,0.00012516602873802185,True
4,8,2,4,2,8,32768,torch.bfloat16,0.12367039918899536,150994944,0.00012516602873802185,True
4,8,2,4,2,32,32768,torch.bfloat16,0.2471695899963379,603979776,0.00012516602873802185,True
4,8,2,4,2,1,131072,torch.bfloat16,0.09839040040969849,75497472,0.00012516602873802185,True
4,8,2,4,2,8,131072,torch.bfloat16,0.22670719623565674,603979776,0.00012516602873802185,True
4,8,2,4,2,32,131072,torch.bfloat16,0.7026159763336182,2415919104,0.00012516602873802185,True
4,8,2,4,2,1,524288,torch.bfloat16,0.17448799610137938,301989888,0.00012516602873802185,True
4,8,2,4,2,8,524288,torch.bfloat16,0.6430928230285644,2415919104,0.00012516602873802185,True
4,8,2,4,2,32,524288,torch.bfloat16,2.5180192947387696,9663676416,0.00012516602873802185,True
4,8,2,4,2,1,1048576,torch.bfloat16,0.27236640453338623,603979776,0.00012516602873802185,True
4,8,2,4,2,8,1048576,torch.bfloat16,1.200540828704834,4831838208,0.00012516602873802185,True
4,8,2,4,2,32,1048576,torch.bfloat16,4.922011184692383,19327352832,0.00012516602873802185,True
4,8,2,4,2,1,1024,torch.float8_e4m3fn,0.05612480044364929,294912,0.0006179977208375931,True
4,8,2,4,2,8,1024,torch.float8_e4m3fn,0.06619679927825928,2359296,0.0006179977208375931,True
4,8,2,4,2,32,1024,torch.float8_e4m3fn,0.07569119930267335,9437184,0.0006179977208375931,True
4,8,2,4,2,1,8192,torch.float8_e4m3fn,0.05872960090637207,2359296,0.0006179977208375931,True
4,8,2,4,2,8,8192,torch.float8_e4m3fn,0.07334240078926087,18874368,0.0006179977208375931,True
4,8,2,4,2,32,8192,torch.float8_e4m3fn,0.09985120296478271,75497472,0.0006179977208375931,True
4,8,2,4,2,1,32768,torch.float8_e4m3fn,0.06511679887771607,9437184,0.0006179977208375931,True
4,8,2,4,2,8,32768,torch.float8_e4m3fn,0.089055997133255,75497472,0.0006179977208375931,True
4,8,2,4,2,32,32768,torch.float8_e4m3fn,0.15965759754180908,301989888,0.0006179977208375931,True
4,8,2,4,2,1,131072,torch.float8_e4m3fn,0.07154080271720886,37748736,0.0006179977208375931,True
4,8,2,4,2,8,131072,torch.float8_e4m3fn,0.14960319995880128,301989888,0.0006179977208375931,True
4,8,2,4,2,32,131072,torch.float8_e4m3fn,0.3686176061630249,1207959552,0.0006179977208375931,True
