rank,tp,dp,context,chunk,cache_dtype,cold_prefill_cuda_ms,cold_prefill_wall_ms,dynamic_peak_bytes,cache_bytes,split_vs_unsplit_relative_l2,weights,samples
4,16,1,1048576,8192,fp8_e4m3,2941.00537109375,2940.982284024358,2586183168,603979776,0.006423066835850477,MLA layer 3,1
4,16,1,1048576,4096,fp8_e4m3,3945.0078125,3944.975769147277,2476279296,603979776,0.00626356853172183,MLA layer 3,1
4,16,1,1048576,16384,fp8_e4m3,2016.9117431640625,2016.921116039157,2803893760,603979776,0.006239296402782202,MLA layer 3,1
4,8,2,8192,8192,bfloat16,2.12556791305542,2.1662008948624134,304677888,9437184,0.0,MLA layer 3,1
4,8,2,131072,8192,bfloat16,100.87401580810547,100.90234503149986,2061960704,150994944,0.004243088886141777,MLA layer 3,1
4,8,2,1048576,8192,bfloat16,4236.11279296875,4236.071545165032,3694855680,1207959552,0.006312725134193897,MLA layer 3,1
4,8,2,8192,8192,fp8_e4m3,2.3292479515075684,2.3634457029402256,304677888,4718592,0.0,MLA layer 3,1
4,8,2,131072,8192,fp8_e4m3,102.50812530517578,102.53565292805433,2061960704,75497472,0.004397677723318338,MLA layer 3,1
4,8,2,1048576,8192,fp8_e4m3,4314.76806640625,4314.723026938736,3694855680,603979776,0.006420935969799757,MLA layer 3,1
4,4,4,8192,8192,bfloat16,2.56166410446167,2.608977723866701,482411520,9437184,0.0,MLA layer 3,1
4,4,4,131072,8192,bfloat16,161.06687927246094,161.09615797176957,3713992192,150994944,0.004635257180780172,MLA layer 3,1
4,4,4,1048576,8192,bfloat16,8065.75,8065.647571813315,5911283200,1207959552,0.006740302313119173,MLA layer 3,1
4,4,4,8192,8192,fp8_e4m3,2.411168098449707,2.4482468143105507,482411520,4718592,0.0,MLA layer 3,1
4,4,4,131072,8192,fp8_e4m3,160.2503662109375,160.2779058739543,3713992192,75497472,0.004787754733115435,MLA layer 3,1
4,4,4,1048576,8192,fp8_e4m3,8111.7802734375,8111.685747280717,5911283200,603979776,0.0068412357941269875,MLA layer 3,1
5,16,1,8192,8192,bfloat16,12.298015594482422,12.350576929748058,215811072,9437184,0.0,MLA layer 3,1
5,16,1,131072,8192,bfloat16,7612.4931640625,7612.383015919477,1236010496,150994944,0.004252754617482424,MLA layer 3,1
5,16,1,1048576,8192,bfloat16,2971.85205078125,2971.827093977481,2586183168,1207959552,0.006312869489192963,MLA layer 3,1
5,16,1,1048576,4096,bfloat16,3800.62060546875,3800.580173265189,2476279296,1207959552,0.006080470513552427,MLA layer 3,1
5,16,1,1048576,16384,bfloat16,1982.0325927734375,1982.0259930565953,2803893760,1207959552,0.006186738610267639,MLA layer 3,1
5,16,1,8192,8192,fp8_e4m3,3.3407039642333984,3.368258010596037,215811072,4718592,0.0,MLA layer 3,1
5,16,1,131072,8192,fp8_e4m3,86.6341781616211,86.65788220241666,1236010496,75497472,0.004408787935972214,MLA layer 3,1
5,16,1,1048576,8192,fp8_e4m3,2941.0205078125,2940.9923958592117,2586183168,603979776,0.006423066835850477,MLA layer 3,1
5,16,1,1048576,4096,fp8_e4m3,3945.025634765625,3944.98543208465,2476279296,603979776,0.00626356853172183,MLA layer 3,1
5,16,1,1048576,16384,fp8_e4m3,2016.9228515625,2016.9213716872036,2803893760,603979776,0.006239296402782202,MLA layer 3,1
5,8,2,8192,8192,bfloat16,2.1120638847351074,2.154009882360697,304677888,9437184,0.0,MLA layer 3,1
5,8,2,131072,8192,bfloat16,100.8796157836914,100.90602515265346,2061960704,150994944,0.004243088886141777,MLA layer 3,1
5,8,2,1048576,8192,bfloat16,4236.1103515625,4236.061688978225,3694855680,1207959552,0.006312725134193897,MLA layer 3,1
5,8,2,8192,8192,fp8_e4m3,2.341952085494995,2.3704851046204567,304677888,4718592,0.0,MLA layer 3,1
5,8,2,131072,8192,fp8_e4m3,102.5285415649414,102.5520684197545,2061960704,75497472,0.004397677723318338,MLA layer 3,1
5,8,2,1048576,8192,fp8_e4m3,4314.7822265625,4314.733107108623,3694855680,603979776,0.006420935969799757,MLA layer 3,1
5,4,4,8192,8192,bfloat16,2.5772159099578857,2.617106307297945,482411520,9437184,0.0,MLA layer 3,1
5,4,4,131072,8192,bfloat16,161.08082580566406,161.10687796026468,3713992192,150994944,0.004635257180780172,MLA layer 3,1
5,4,4,1048576,8192,bfloat16,8065.75390625,8065.65186008811,5911283200,1207959552,0.006740302313119173,MLA layer 3,1
5,4,4,8192,8192,fp8_e4m3,2.5402560234069824,2.568563912063837,482411520,4718592,0.0,MLA layer 3,1
5,4,4,131072,8192,fp8_e4m3,160.255615234375,160.2797619998455,3713992192,75497472,0.004787754733115435,MLA layer 3,1
5,4,4,1048576,8192,fp8_e4m3,8111.75634765625,8111.653171945363,5911283200,603979776,0.0068412357941269875,MLA layer 3,1
6,16,1,8192,8192,bfloat16,12.262304306030273,12.319952715188265,215811072,9437184,0.0,MLA layer 3,1
6,16,1,131072,8192,bfloat16,7612.494140625,7612.386152148247,1236010496,150994944,0.004252754617482424,MLA layer 3,1
6,16,1,1048576,8192,bfloat16,2971.853759765625,2971.8269016593695,2586183168,1207959552,0.006312869489192963,MLA layer 3,1
6,16,1,1048576,4096,bfloat16,3800.62890625,3800.5885891616344,2476279296,1207959552,0.006080470513552427,MLA layer 3,1
6,16,1,1048576,16384,bfloat16,1982.0411376953125,1982.0363288745284,2803893760,1207959552,0.006186738610267639,MLA layer 3,1
6,16,1,8192,8192,fp8_e4m3,3.352735996246338,3.381153102964163,215811072,4718592,0.0,MLA layer 3,1
6,16,1,131072,8192,fp8_e4m3,86.62588500976562,86.65404189378023,1236010496,75497472,0.004408787935972214,MLA layer 3,1
6,16,1,1048576,8192,fp8_e4m3,2941.010009765625,2940.9844600595534,2586183168,603979776,0.006423066835850477,MLA layer 3,1
6,16,1,1048576,4096,fp8_e4m3,3945.02099609375,3944.982519838959,2476279296,603979776,0.00626356853172183,MLA layer 3,1
6,16,1,1048576,16384,fp8_e4m3,2016.93603515625,2016.9348758645356,2803893760,603979776,0.006239296402782202,MLA layer 3,1
6,8,2,8192,8192,bfloat16,2.130079984664917,2.1678651683032513,304677888,9437184,0.0,MLA layer 3,1
6,8,2,131072,8192,bfloat16,100.88761901855469,100.91450484469533,2061960704,150994944,0.004243088886141777,MLA layer 3,1
6,8,2,1048576,8192,bfloat16,4236.115234375,4236.067897174507,3694855680,1207959552,0.006312725134193897,MLA layer 3,1
6,8,2,8192,8192,fp8_e4m3,2.3494720458984375,2.37966887652874,304677888,4718592,0.0,MLA layer 3,1
