rank,ep,expert_tp,global_tokens,original_rows_per_rank,rows_after_tp_gather,graph_ms,relative_l2_vs_ep16,includes_tp_gather_and_reduce_scatter
15,8,2,128,8,16,0.25141119956970215,0.00328401499427855,True
15,8,2,2048,128,256,0.33143253326416017,0.003246268955990672,True
15,8,2,8192,512,1024,0.5558026631673177,0.0032516028732061386,True
2,16,1,16,1,1,0.1857888062795003,0.0,True
2,16,1,128,8,8,0.2057909329732259,0.0,True
2,16,1,2048,128,128,0.26288320223490397,0.0,True
2,16,1,8192,512,512,0.3886975924173991,0.0,True
2,8,2,16,1,2,0.24393812815348306,0.0032944881822913885,True
2,8,2,128,8,16,0.2513034661610921,0.0032498713117092848,True
2,8,2,2048,128,256,0.3315402666727702,0.0032575130462646484,True
2,8,2,8192,512,1024,0.5559690475463868,0.0032433911692351103,True
3,16,1,16,1,1,0.1857482592264811,0.0,True
3,16,1,128,8,8,0.2057546615600586,0.0,True
3,16,1,2048,128,128,0.26295572916666665,0.0,True
3,16,1,8192,512,512,0.3886869430541992,0.0,True
3,8,2,16,1,2,0.24397974014282225,0.003204828593879938,True
3,8,2,128,8,16,0.25129493077596027,0.003224412677809596,True
3,8,2,2048,128,256,0.3313941319783529,0.0032466754782944918,True
3,8,2,8192,512,1024,0.5559957504272461,0.0032533437479287386,True
4,16,1,16,1,1,0.18583893775939941,0.0,True
4,16,1,128,8,8,0.20574506123860678,0.0,True
4,16,1,2048,128,128,0.26291732788085936,0.0,True
4,16,1,8192,512,512,0.3886858622233073,0.0,True
4,8,2,16,1,2,0.24391786257425943,0.0032171402126550674,True
4,8,2,128,8,16,0.25148372650146483,0.003234083764255047,True
4,8,2,2048,128,256,0.33155733744303384,0.003246120410040021,True
4,8,2,8192,512,1024,0.5560277303059896,0.0032504505943506956,True
5,16,1,16,1,1,0.18584532737731935,0.0,True
5,16,1,128,8,8,0.20572266578674317,0.0,True
5,16,1,2048,128,128,0.26289812723795575,0.0,True
5,16,1,8192,512,512,0.38867413202921547,0.0,True
5,8,2,16,1,2,0.2439008076985677,0.003312760265544057,True
5,8,2,128,8,16,0.2515338738759359,0.0032867274712771177,True
5,8,2,2048,128,256,0.33159360885620115,0.0032420943025499582,True
5,8,2,8192,512,1024,0.5560864130655925,0.0032457110937684774,True
6,16,1,16,1,1,0.18585599263509114,0.0,True
6,16,1,128,8,8,0.20587199529012043,0.0,True
6,16,1,2048,128,128,0.2628991921742757,0.0,True
6,16,1,8192,512,512,0.3888095855712891,0.0,True
