hardware,hbm_budget_gib,world,tp,dp,ep,ffn_tp,nested_cp,cache_dtype,context,weight_gib,allowance_gib,cache_state_per_request_gib,minimum_hbm_one_request_gib,requests_per_dp,cluster_requests,resident_tokens,implemented_mesh
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,8192,780.1062148213387,20,0.432037353515625,800.5382521748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,32768,780.1062148213387,20,1.064849853515625,801.1710646748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,131072,780.1062148213387,20,3.596099853515625,803.7023146748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,524288,780.1062148213387,20,13.721099853515625,813.8273146748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,bfloat16,1048576,780.1062148213387,20,27.221099853515625,827.3273146748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,1024,780.1062148213387,20,0.234283447265625,800.3404982686043,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,8192,780.1062148213387,20,0.326568603515625,800.4327834248543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,32768,780.1062148213387,20,0.642974853515625,800.7491896748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,131072,780.1062148213387,20,1.908599853515625,802.0148146748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,524288,780.1062148213387,20,6.971099853515625,807.0773146748543,0,0,0,True
GB200_measured,184.306640625,2,1,2,2,1,1,fp8_e4m3,1048576,780.1062148213387,20,13.721099853515625,813.8273146748543,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,1024,744.60052973032,20,0.1369171142578125,764.7374468445778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,8192,744.60052973032,20,0.3214874267578125,764.9220171570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,32768,744.60052973032,20,0.9542999267578125,765.5548296570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,131072,744.60052973032,20,3.4855499267578125,768.0860796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,524288,744.60052973032,20,13.610549926757812,778.2110796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,bfloat16,1048576,744.60052973032,20,27.110549926757812,791.7110796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,1024,744.60052973032,20,0.1237335205078125,764.7242632508278,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,8192,744.60052973032,20,0.2160186767578125,764.8165484070778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,32768,744.60052973032,20,0.5324249267578125,765.1329546570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,131072,744.60052973032,20,1.7980499267578125,766.3985796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,524288,744.60052973032,20,6.8605499267578125,771.4610796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,1,fp8_e4m3,1048576,744.60052973032,20,13.610549926757812,778.2110796570778,0,0,0,True
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,1024,744.60052973032,20,0.1237335205078125,764.7242632508278,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,8192,744.60052973032,20,0.2160186767578125,764.8165484070778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,32768,744.60052973032,20,0.5324249267578125,765.1329546570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,131072,744.60052973032,20,1.7980499267578125,766.3985796570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,524288,744.60052973032,20,6.8605499267578125,771.4610796570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,bfloat16,1048576,744.60052973032,20,13.610549926757812,778.2110796570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,1024,744.60052973032,20,0.1171417236328125,764.7176714539528,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,8192,744.60052973032,20,0.1632843017578125,764.7638140320778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,32768,744.60052973032,20,0.3214874267578125,764.9220171570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,131072,744.60052973032,20,0.9542999267578125,765.5548296570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,524288,744.60052973032,20,3.4855499267578125,768.0860796570778,0,0,0,False
GB200_measured,184.306640625,2,2,1,2,1,2,fp8_e4m3,1048576,744.60052973032,20,6.8605499267578125,771.4610796570778,0,0,0,False
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,1024,443.326933324337,20,0.247467041015625,463.57440036535263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,8192,443.326933324337,20,0.432037353515625,463.75897067785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,32768,443.326933324337,20,1.064849853515625,464.39178317785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,131072,443.326933324337,20,3.596099853515625,466.92303317785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,524288,443.326933324337,20,13.721099853515625,477.04803317785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,bfloat16,1048576,443.326933324337,20,27.221099853515625,490.54803317785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,fp8_e4m3,1024,443.326933324337,20,0.234283447265625,463.56121677160263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,fp8_e4m3,8192,443.326933324337,20,0.326568603515625,463.65350192785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,fp8_e4m3,32768,443.326933324337,20,0.642974853515625,463.96990817785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,fp8_e4m3,131072,443.326933324337,20,1.908599853515625,465.23553317785263,0,0,0,True
GB200_measured,184.306640625,4,1,4,4,1,1,fp8_e4m3,524288,443.326933324337,20,6.971099853515625,470.29803317785263,0,0,0,True
