rank,op,m,n,k,tp,ms,gflops,gbps
7,bf16_kda_projection,1,768,7168,16,0.026324266195297243,418.2471001591268,0
7,bf16_kda_projection,8,768,7168,16,0.025368533531824746,3472.0329375564193,0
7,bf16_kda_projection,128,768,7168,16,0.024772266546885174,56889.67302740417,0
7,bf16_kda_projection,1024,768,7168,16,0.02174826661745707,518399.43616243254,0
7,bf16_kda_projection,8192,768,7168,16,0.05892159938812256,1530751.2720739453,0
8,hbm_copy,0,0,0,1,0.08212544441223145,0,6537.205562080836
8,bf16_kda_projection,1,12288,7168,1,0.03218986590703329,5472.553644950412,0
8,bf16_kda_projection,8,12288,7168,1,0.03195733428001404,44098.98934784935,0
8,bf16_kda_projection,128,12288,7168,1,0.03013546665509542,748240.5552922606,0
8,bf16_kda_projection,1024,12288,7168,1,0.11740907033284505,1536411.3344958196,0
8,bf16_kda_projection,8192,12288,7168,1,0.8508202870686848,1696138.460012415,0
8,bf16_kda_projection,1,6144,7168,2,0.025651200612386068,3433.7723731133683,0
8,bf16_kda_projection,8,6144,7168,2,0.02532906730969747,27819.542795806807,0
8,bf16_kda_projection,128,6144,7168,2,0.021095466613769532,534441.3261113169,0
8,bf16_kda_projection,1024,6144,7168,2,0.06390506823857625,1411379.655824454,0
8,bf16_kda_projection,8192,6144,7168,2,0.4462090810139974,1617077.1425993573,0
8,bf16_kda_projection,1,3072,7168,4,0.0251093327999115,1753.9371655528507,0
8,bf16_kda_projection,8,3072,7168,4,0.025773866971333822,13669.71965797211,0
8,bf16_kda_projection,128,3072,7168,4,0.02266133427619934,248756.0753172667,0
8,bf16_kda_projection,1024,3072,7168,4,0.032025599479675294,1408159.6391855343,0
8,bf16_kda_projection,8192,3072,7168,4,0.23509012858072917,1534633.7808484812,0
8,bf16_kda_projection,1,1536,7168,8,0.02562666734059652,859.2649097651819,0
8,bf16_kda_projection,8,1536,7168,8,0.025499733289082845,6908.337667806878,0
8,bf16_kda_projection,128,1536,7168,8,0.02632746696472168,107058.24042156563,0
8,bf16_kda_projection,1024,1536,7168,8,0.021900800863901775,1029577.7969090587,0
8,bf16_kda_projection,8192,1536,7168,8,0.12477866808573405,1445668.7925860607,0
8,bf16_kda_projection,1,768,7168,16,0.025613866249720254,429.8471731154702,0
8,bf16_kda_projection,8,768,7168,16,0.0255786657333374,3443.50971697489,0
