rank,group_start,size,requested_tokens,padded_tokens,op,logical_bytes,median_ms,min_ms,max_ms
0,0,16,8192,8192,all_reduce,117440512,0.4135829289754232,0.4121568044026693,0.4139295895894369
0,0,16,8192,8192,reduce_scatter,117440512,0.3164629300435384,0.3148757298787435,0.34673385620117186
0,0,16,8192,8192,all_gather,117440512,0.2101418654123942,0.20982826550801595,0.2103424072265625
0,0,16,8192,8192,all_to_all,117440512,0.2145429293314616,0.21440320014953612,0.21454933484395344
0,0,16,8192,8192,rs_ag_pair,117440512,0.4717898686726888,0.4707178751627604,0.6039136250813802
0,0,16,16384,16384,all_reduce,234881024,0.6989770889282226,0.6978080113728841,0.6997781117757161
0,0,16,16384,16384,reduce_scatter,234881024,0.36476052602132164,0.36454931894938153,0.36524372100830077
0,0,16,16384,16384,all_gather,234881024,0.36966400146484374,0.36954027811686196,0.3698879877726237
0,0,16,16384,16384,all_to_all,234881024,0.3862271944681803,0.3851360003153483,0.4084970792134603
0,0,16,16384,16384,rs_ag_pair,234881024,0.7348405202229817,0.7343594868977864,0.7976928075154622
1,0,2,1,2,all_reduce,28672,0.054832001527150474,0.05461333195368449,0.055070932706197104
1,0,2,1,2,reduce_scatter,28672,0.04950186808904012,0.046860798199971514,0.04978026549021403
1,0,2,1,2,all_gather,28672,0.04531306823094686,0.04445013205210368,0.04648319880167643
1,0,2,1,2,all_to_all,28672,0.04895146687825521,0.04729386568069458,0.05114666620890299
1,0,2,1,2,rs_ag_pair,28672,0.08713813622792561,0.0860362688700358,0.09208959738413493
1,0,2,8,8,all_reduce,114688,0.05117760101954142,0.05096640189488729,0.05128213167190552
1,0,2,8,8,reduce_scatter,114688,0.045604264736175536,0.04532159964243571,0.04666346708933512
1,0,2,8,8,all_gather,114688,0.04307093222935995,0.04248533248901367,0.04351253509521484
1,0,2,8,8,all_to_all,114688,0.050630398591359455,0.04938986698786418,0.05520639816919962
1,0,2,8,8,rs_ag_pair,114688,0.08940693537394205,0.0877941370010376,0.0898314634958903
1,0,2,128,128,all_reduce,1835008,0.05497173468271891,0.05414826472600301,0.25161493619283043
1,0,2,128,128,reduce_scatter,1835008,0.04843626817067464,0.04633386532465617,0.04924480120340983
1,0,2,128,128,all_gather,1835008,0.045881601174672444,0.04525546630223592,0.0469215989112854
1,0,2,128,128,all_to_all,1835008,0.05169386863708496,0.050920534133911136,0.05245759884516398
1,0,2,128,128,rs_ag_pair,1835008,0.0935861349105835,0.09174400170644124,0.09433066844940186
1,0,2,1024,1024,all_reduce,14680064,0.05365440050760905,0.05323946475982666,0.054025598367055255
1,0,2,1024,1024,reduce_scatter,14680064,0.04828159809112549,0.04759786526362101,0.04977706670761108
1,0,2,1024,1024,all_gather,14680064,0.045424000422159834,0.0444213350613912,0.0457152009010315
1,0,2,1024,1024,all_to_all,14680064,0.05260586738586426,0.05133440097173055,0.05467306772867839
