rank,ep,source_ranks,tokens_per_rank,global_tokens,routing,ms,max_mean_expert_load,workspace_device_bytes,dynamic_peak_bytes
4,16,16,128,2048,balanced,2.8326400756835937,1.01171875,6981419008,917504
4,16,16,128,2048,hot_rank,1.367731221516927,55.999996185302734,6981419008,917504
4,16,16,512,8192,balanced,0.49361705780029297,1.0048828125,6981419008,3670016
4,16,16,512,8192,hot_rank,4.676753234863281,55.999996185302734,6981419008,3670016
4,16,16,2048,32768,balanced,1.473471959431966,1.00146484375,6981419008,14680064
4,16,16,2048,32768,hot_rank,17.77132771809896,55.999996185302734,6981419008,14680064
4,16,4,0,8192,balanced,1.5124820709228515,1.0048828125,6981419008,0
4,16,8,1024,8192,balanced,1.4525375366210938,1.0048828125,6981419008,0
4,8,8,1,8,balanced,0.367195733388265,6.999999523162842,4171235328,7168
4,8,8,1,8,hot_rank,0.12283519903818767,55.999996185302734,4171235328,7168
4,8,8,8,64,balanced,0.3752362569173177,1.7499998807907104,4171235328,57344
4,8,8,8,64,hot_rank,0.23283839225769043,55.999996185302734,4171235328,57344
4,8,8,128,1024,balanced,0.45540908177693684,1.0390625,4171235328,917504
4,8,8,128,1024,hot_rank,1.0622997283935547,55.999996185302734,4171235328,917504
4,8,8,512,4096,balanced,0.6304746627807617,1.01171875,4171235328,3670016
4,8,8,512,4096,hot_rank,2.428819274902344,55.999996185302734,4171235328,3670016
4,8,8,2048,16384,balanced,1.5170132954915365,1.00146484375,4171235328,14680064
4,8,8,2048,16384,hot_rank,9.025755818684896,55.999996185302734,4171235328,14680064
4,4,4,1,4,balanced,0.27064107259114584,13.999999046325684,3089104896,7168
4,4,4,1,4,hot_rank,0.12823893229166666,55.999996185302734,3089104896,7168
4,4,4,8,32,balanced,0.7535872141520182,1.7499998807907104,3089104896,57344
4,4,4,8,32,hot_rank,0.1806335926055908,55.999996185302734,3089104896,57344
4,4,4,128,512,balanced,0.8455765406290691,1.09375,3089104896,917504
4,4,4,128,512,hot_rank,0.9078421274820964,55.999996185302734,3089104896,917504
4,4,4,512,2048,balanced,1.046664555867513,1.01171875,3089104896,3670016
4,4,4,512,2048,hot_rank,1.5025493621826171,55.999996185302734,3089104896,3670016
4,4,4,2048,8192,balanced,1.673843256632487,1.0048828125,3089104896,14680064
4,4,4,2048,8192,hot_rank,4.720396931966146,55.999996185302734,3089104896,14680064
5,16,16,1,16,balanced,0.19640533129374185,3.499999761581421,6981419008,7168
5,16,16,1,16,hot_rank,0.11271680196126302,55.999996185302734,6981419008,7168
5,16,16,8,128,balanced,0.21463893254597982,1.3125,6981419008,57344
5,16,16,8,128,hot_rank,0.3690858523050944,55.999996185302734,6981419008,57344
5,16,16,128,2048,balanced,2.832960001627604,1.01171875,6981419008,917504
5,16,16,128,2048,hot_rank,1.3676821390787761,55.999996185302734,6981419008,917504
5,16,16,512,8192,balanced,0.5357184092203776,1.0048828125,6981419008,3670016
5,16,16,512,8192,hot_rank,4.676682535807291,55.999996185302734,6981419008,3670016
5,16,16,2048,32768,balanced,1.4885973612467447,1.00146484375,6981419008,14680064
5,16,16,2048,32768,hot_rank,17.77080078125,55.999996185302734,6981419008,14680064
5,16,4,0,8192,balanced,1.5123690287272136,1.0048828125,6981419008,0
5,16,8,1024,8192,balanced,1.452838389078776,1.0048828125,6981419008,0
5,8,8,1,8,balanced,0.3985621452331543,6.999999523162842,4171235328,7168
5,8,8,1,8,hot_rank,0.12291626930236817,55.999996185302734,4171235328,7168
5,8,8,8,64,balanced,0.3752277374267578,1.7499998807907104,4171235328,57344
5,8,8,8,64,hot_rank,0.23296640714009603,55.999996185302734,4171235328,57344
5,8,8,128,1024,balanced,0.4553770701090495,1.0390625,4171235328,917504
5,8,8,128,1024,hot_rank,1.062350908915202,55.999996185302734,4171235328,917504
5,8,8,512,4096,balanced,0.6304704030354817,1.01171875,4171235328,3670016
5,8,8,512,4096,hot_rank,2.4304852803548176,55.999996185302734,4171235328,3670016
5,8,8,2048,16384,balanced,1.516983413696289,1.00146484375,4171235328,14680064
