rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
3,8,2,decode,256,1,1.0535039901733398,0.1753887971242269,11345920,110100480
3,16,1,prefill,1,1024,2.2377920150756836,,55155712,215040
3,16,1,prefill,1,8192,3.358464002609253,,440790016,215040
3,16,1,prefill,1,16384,4.213088035583496,,881028096,215040
3,16,1,decode,1,1,1.0931199789047241,0.08278400103251139,28672,215040
3,16,1,decode,8,1,1.2450239658355713,0.07315946420033773,227840,1720320
3,16,1,decode,32,1,0.9588159918785095,0.07820053100585937,910336,6881280
3,16,1,decode,128,1,0.9761599898338318,0.11348799864451091,3641344,27525120
3,16,1,decode,256,1,0.9577280282974243,0.14229440689086914,7348224,55050240
4,1,16,prefill,1,1024,2.547071933746338,,881442816,3440640
4,1,16,prefill,1,8192,14.283391952514648,,7048445952,3440640
4,1,16,prefill,1,16384,28.54252815246582,,14096449536,3440640
4,1,16,decode,1,1,0.6778879761695862,0.1517013390858968,246272,3440640
4,1,16,decode,8,1,0.6482560038566589,0.1632032076517741,1969664,27525120
4,1,16,decode,32,1,0.6452800035476685,0.2057439963022868,8468480,110100480
4,1,16,decode,128,1,0.5652480125427246,0.35271358489990234,31580160,440401920
4,1,16,decode,256,1,0.65065598487854,0.637502924601237,63029248,880803840
4,2,8,prefill,1,1024,2.2571520805358887,,440721408,1720320
4,2,8,prefill,1,8192,7.944479942321777,,3524222976,1720320
4,2,8,prefill,1,16384,15.202495574951172,,7048224768,1720320
4,2,8,decode,1,1,1.005952000617981,0.10791786511739095,125440,1720320
4,2,8,decode,8,1,1.0266879796981812,0.111135999361674,1002496,13762560
4,2,8,decode,32,1,1.0308159589767456,0.14005546569824218,4074496,55050240
4,2,8,decode,128,1,0.8849279880523682,0.22077760696411133,16101376,220200960
4,2,8,decode,256,1,0.8165119886398315,0.3936906814575195,32071680,440401920
4,4,4,prefill,1,1024,2.1645760536193848,,220360704,860160
4,4,4,prefill,1,8192,4.818943977355957,,1762111488,860160
4,4,4,prefill,1,16384,8.638655662536621,,3524112384,860160
4,4,4,decode,1,1,0.9932479858398438,0.07857600053151449,70144,860160
4,4,4,decode,8,1,1.0423680543899536,0.08020373185475667,559616,6881280
4,4,4,decode,32,1,0.9993919730186462,0.09296000003814697,2238464,27525120
4,4,4,decode,128,1,0.9917759895324707,0.147053861618042,8953856,110100480
4,4,4,decode,256,1,0.9710720181465149,0.22702719370524088,17973248,220200960
4,8,2,prefill,1,1024,2.3393280506134033,,110180352,430080
4,8,2,prefill,1,8192,3.6898880004882812,,881055744,430080
4,8,2,prefill,1,16384,5.55017614364624,,1762056192,430080
4,8,2,decode,1,1,1.1475839614868164,0.0731946627298991,42496,430080
4,8,2,decode,8,1,1.216256022453308,0.07613653341929118,338432,3440640
4,8,2,decode,32,1,1.053279995918274,0.08206186294555665,1352704,13762560
4,8,2,decode,128,1,1.0834879875183105,0.10964907010396321,5476352,55050240
