rank,tp,cp,dp,queries,cached_tokens,local_attention_ms,attention_with_merge_ms,graph_ms,correctness_max_abs,expanded_kv_bytes,local_attention_flops
0,4,1,4,128,1048576,10.895622253417969,10.89467544555664,10.887065887451172,0.002366364002227783,16106127360,2061584302080
0,4,1,4,1024,1048576,14.881234741210937,14.975263977050782,15.265229797363281,0.002366364002227783,16106127360,16492674416640
0,4,1,4,8192,1048576,98.51441040039063,98.10247192382812,98.09934692382812,0.002366364002227783,16106127360,131941395333120
0,8,1,2,1,32768,0.3533440113067627,0.35304319858551025,0.34567999839782715,0.0019608736038208008,251658240,251658240
0,8,1,2,128,32768,0.35298240184783936,0.35291199684143065,0.3457904100418091,0.0019608736038208008,251658240,32212254720
0,8,1,2,1024,32768,0.46870718002319334,0.4683519840240479,0.46167359352111814,0.0019608736038208008,251658240,257698037760
0,8,1,2,8192,32768,1.3805248260498046,1.3876288414001465,1.3922431945800782,0.0019608736038208008,251658240,2061584302080
0,8,1,2,1,131072,1.4641568183898925,1.3635775566101074,1.3558799743652343,0.0019608736038208008,1006632960,1006632960
0,8,1,2,128,131072,1.364297580718994,1.3651488304138184,1.3565024375915526,0.0019608736038208008,1006632960,128849018880
0,8,1,2,1024,131072,1.8191455841064452,1.8195615768432618,1.811204719543457,0.0019608736038208008,1006632960,1030792151040
0,8,1,2,8192,131072,5.546041488647461,5.753318405151367,5.7020111083984375,0.0019608736038208008,1006632960,8246337208320
0,8,1,2,1,1048576,10.791490936279297,10.791951751708984,10.787470245361328,0.0019608736038208008,8053063680,8053063680
0,8,1,2,128,1048576,10.794387054443359,10.795622253417969,10.783803558349609,0.0019608736038208008,8053063680,1030792151040
0,8,1,2,1024,1048576,14.443414306640625,14.440646362304687,14.441346740722656,0.0019608736038208008,8053063680,8246337208320
0,8,1,2,8192,1048576,48.099996948242186,46.303225708007815,48.28756408691406,0.0019608736038208008,8053063680,65970697666560
0,4,2,2,1,32768,0.18567039966583251,0.3271104097366333,0.21439359188079835,0.003609955310821533,251658240,251658240
0,4,2,2,128,32768,0.18626240491867066,0.32245759963989257,0.22347519397735596,0.003609955310821533,251658240,32212254720
