rank,tp,dp,phase,batch_per_dp,chunk,ms,graph_ms,dynamic_peak_bytes,state_bytes
1,4,4,decode,4,1,0.9278720021247864,0.08040640354156495,280064,3440640
1,4,4,decode,16,1,0.9533439874649048,0.08713706334431966,1119232,13762560
1,4,4,decode,64,1,0.9465280175209045,0.1128981351852417,4935680,55050240
1,8,2,decode,2,1,1.3174079656600952,0.07507946491241455,84992,860160
1,8,2,decode,4,1,1.0329279899597168,0.07767360210418701,169472,1720320
1,8,2,decode,16,1,1.213055968284607,0.07725226879119873,676352,6881280
1,8,2,decode,64,1,1.0856959819793701,0.09195093313852946,2705408,27525120
1,16,1,decode,2,1,1.1832319498062134,0.083570130666097,57344,430080
1,16,1,decode,4,1,1.0686719417572021,0.08514453570048014,114176,860160
1,16,1,decode,16,1,0.9493759870529175,0.07602986494700113,455168,3440640
1,16,1,decode,64,1,0.9269120097160339,0.08603306611378987,1820672,13762560
2,1,16,decode,2,1,0.8912000060081482,0.153164800008138,492544,6881280
2,1,16,decode,4,1,0.7255359888076782,0.15606719652811687,985088,13762560
2,1,16,decode,16,1,0.8283200263977051,0.17865707079569498,4398080,55050240
2,1,16,decode,64,1,0.7256960272789001,0.2578986644744873,15822848,220200960
2,2,8,decode,2,1,0.8646079897880554,0.10776000022888184,250880,3440640
2,2,8,decode,4,1,0.9960960149765015,0.10731093088785808,501248,6881280
2,2,8,decode,16,1,1.016800045967102,0.12148586908976237,2004480,27525120
2,2,8,decode,64,1,0.9184640049934387,0.1715722719828288,8083456,110100480
2,4,4,decode,2,1,0.876479983329773,0.07883946895599366,140288,1720320
2,4,4,decode,4,1,0.9330880045890808,0.08051093419392903,280064,3440640
2,4,4,decode,16,1,0.9476479887962341,0.08698773384094238,1119232,13762560
2,4,4,decode,64,1,0.9507520198822021,0.11297386487325033,4935680,55050240
2,8,2,decode,2,1,1.3178880214691162,0.07484479745229085,84992,860160
2,8,2,decode,4,1,1.034656047821045,0.07761279741923015,169472,1720320
2,8,2,decode,16,1,1.2047679424285889,0.07718400160471599,676352,6881280
2,8,2,decode,64,1,1.0834879875183105,0.0914026657740275,2705408,27525120
2,16,1,decode,2,1,1.1823999881744385,0.08342186609903972,57344,430080
2,16,1,decode,4,1,1.065567970275879,0.08518719673156738,114176,860160
2,16,1,decode,16,1,0.9762880206108093,0.07590293089548747,455168,3440640
2,16,1,decode,64,1,0.9223679900169373,0.08596373399098714,1820672,13762560
3,1,16,decode,2,1,0.6521599888801575,0.1530453364054362,492544,6881280
3,1,16,decode,4,1,0.5731199979782104,0.15675840377807618,985088,13762560
3,1,16,decode,16,1,0.562175989151001,0.1785909334818522,4398080,55050240
3,1,16,decode,64,1,0.5949440002441406,0.2578549385070801,15822848,220200960
3,2,8,decode,2,1,0.8730239868164062,0.10817279815673828,250880,3440640
3,2,8,decode,4,1,1.0081599950790405,0.10754559834798177,501248,6881280
3,2,8,decode,16,1,1.0262399911880493,0.12172799905141195,2004480,27525120
3,2,8,decode,64,1,0.9216319918632507,0.1719477335611979,8083456,110100480
3,4,4,decode,2,1,0.8892800211906433,0.07900373140970866,140288,1720320
3,4,4,decode,4,1,0.9481599926948547,0.08069760004679362,280064,3440640
3,4,4,decode,16,1,0.9609919786453247,0.08723413149515788,1119232,13762560
3,4,4,decode,64,1,0.9594879746437073,0.1130623976389567,4935680,55050240
3,8,2,decode,2,1,1.3326079845428467,0.07512426376342773,84992,860160
3,8,2,decode,4,1,1.0431679487228394,0.07779626846313477,169472,1720320
3,8,2,decode,16,1,1.223520040512085,0.07735893726348878,676352,6881280
3,8,2,decode,64,1,1.1061760187149048,0.09215359687805176,2705408,27525120
3,16,1,decode,2,1,1.1978240013122559,0.08372480074564616,57344,430080
3,16,1,decode,4,1,1.0839359760284424,0.08550399939219157,114176,860160
3,16,1,decode,16,1,0.9576320052146912,0.07630186875661214,455168,3440640
3,16,1,decode,64,1,0.9350079894065857,0.08623680273691813,1820672,13762560
4,1,16,decode,2,1,0.8060799837112427,0.15398186047871906,492544,6881280
4,1,16,decode,4,1,0.693343997001648,0.15640106201171874,985088,13762560
4,1,16,decode,16,1,0.6854079961776733,0.1800704002380371,4398080,55050240
4,1,16,decode,64,1,0.6869760155677795,0.2582069396972656,15822848,220200960
4,2,8,decode,2,1,0.9208639860153198,0.10648213227589926,250880,3440640
4,2,8,decode,4,1,0.8687040209770203,0.10693013668060303,501248,6881280
4,2,8,decode,16,1,0.8439679741859436,0.12304533322652181,2004480,27525120
4,2,8,decode,64,1,1.1276479959487915,0.17117546399434408,8083456,110100480
4,4,4,decode,2,1,0.7650560140609741,0.07867733637491862,140288,1720320
4,4,4,decode,4,1,1.1409920454025269,0.07953386306762696,280064,3440640
4,4,4,decode,16,1,0.7703999876976013,0.08416213194529215,1119232,13762560
4,4,4,decode,64,1,0.7821440100669861,0.113155198097229,4935680,55050240
4,8,2,decode,2,1,1.3068159818649292,0.07500159740447998,84992,860160
4,8,2,decode,4,1,1.0371520519256592,0.07760213216145834,169472,1720320
4,8,2,decode,16,1,1.196768045425415,0.07727039655049642,676352,6881280
4,8,2,decode,64,1,1.0875840187072754,0.09192852973937989,2705408,27525120
4,16,1,decode,2,1,1.1810879707336426,0.08335573673248291,57344,430080
4,16,1,decode,4,1,1.0745919942855835,0.08544639746348064,114176,860160
4,16,1,decode,16,1,0.9521600008010864,0.07600639661153158,455168,3440640
4,16,1,decode,64,1,0.9321920275688171,0.0861781358718872,1820672,13762560
5,1,16,decode,2,1,0.6209920048713684,0.1534613291422526,492544,6881280
5,1,16,decode,4,1,0.5811520218849182,0.15673386255900065,985088,13762560
5,1,16,decode,16,1,0.5861759781837463,0.17972480456034343,4398080,55050240
5,1,16,decode,64,1,0.5652480125427246,0.25808213551839193,15822848,220200960
5,2,8,decode,2,1,0.9322879910469055,0.10657493273417155,250880,3440640
5,2,8,decode,4,1,0.863968014717102,0.10694506963094076,501248,6881280
5,2,8,decode,16,1,0.8492159843444824,0.12353066603342693,2004480,27525120
5,2,8,decode,64,1,1.1376639604568481,0.17136106491088868,8083456,110100480
5,4,4,decode,2,1,0.768064022064209,0.07880000273386638,140288,1720320
5,4,4,decode,4,1,1.1585279703140259,0.0797760009765625,280064,3440640
5,4,4,decode,16,1,0.7801600098609924,0.08463359673817952,1119232,13762560
5,4,4,decode,64,1,0.7878400087356567,0.11374719937642415,4935680,55050240
5,8,2,decode,2,1,1.3341120481491089,0.07513173421223958,84992,860160
5,8,2,decode,4,1,1.0460799932479858,0.07775253454844157,169472,1720320
5,8,2,decode,16,1,1.220128059387207,0.07743893464406332,676352,6881280
5,8,2,decode,64,1,1.1093440055847168,0.09218666553497315,2705408,27525120
5,16,1,decode,2,1,1.1936960220336914,0.08370133241017659,57344,430080
5,16,1,decode,4,1,1.0803840160369873,0.08537920316060384,114176,860160
5,16,1,decode,16,1,0.9579520225524902,0.07622826894124349,455168,3440640
5,16,1,decode,64,1,0.9361280202865601,0.08627946376800537,1820672,13762560
6,1,16,decode,2,1,0.6444799900054932,0.15356693267822266,492544,6881280
6,1,16,decode,4,1,0.5983679890632629,0.15653120676676432,985088,13762560
6,1,16,decode,16,1,0.597823977470398,0.1796160062154134,4398080,55050240
6,1,16,decode,64,1,0.5683199763298035,0.2582634607950846,15822848,220200960
6,2,8,decode,2,1,0.7953600287437439,0.1051466703414917,250880,3440640
6,2,8,decode,4,1,0.7832319736480713,0.10672746499379476,501248,6881280
6,2,8,decode,16,1,0.7718080282211304,0.1223200003306071,2004480,27525120
6,2,8,decode,64,1,0.6891520023345947,0.17046292622884116,8083456,110100480
6,4,4,decode,2,1,0.7721279859542847,0.0786677360534668,140288,1720320
6,4,4,decode,4,1,1.1624319553375244,0.07979199886322022,280064,3440640
6,4,4,decode,16,1,0.7809600234031677,0.08463253180185953,1119232,13762560
6,4,4,decode,64,1,0.7854080200195312,0.11335999965667724,4935680,55050240
6,8,2,decode,2,1,1.335103988647461,0.07515947024027507,84992,860160
6,8,2,decode,4,1,1.0451200008392334,0.07767893473307291,169472,1720320
6,8,2,decode,16,1,1.2212159633636475,0.07746880054473877,676352,6881280
6,8,2,decode,64,1,1.1076799631118774,0.09216533501942953,2705408,27525120
